Anio,Idestado,Nomestado,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Preciomediorural,Valorproduccion
2021,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,8520000,Rapini,190.00,79.55,110.50,955.59,12.01,13689.00,13081071.51
2021,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,8540000,Remolacha forrajera,15.69,15.69,0.00,186.06,11.86,3245.00,603764.70
2021,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,8990000,Tomillo,3.36,3.36,0.00,13.99,4.16,22050.00,308479.50
2021,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,9060000,Semilla de trigo grano,1314.19,1314.19,0.00,7737.29,5.89,8453.02,65403446.38
2021,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,9090000,Triticale forrajero en verde,33.07,33.07,0.00,1121.45,33.91,390.00,437366.16
2021,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,9170000,Verdolaga,23.76,23.76,0.00,345.51,14.54,3281.77,1133884.10
2021,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,9950000,Semilla de cebollín,14.57,14.57,0.00,13.96,0.96,81550.00,1138438.00
2021,2,Baja California,1,Otoño-Invierno,1,Riego,200201,Tonelada,15050000,Pastos y praderas,2192.45,2192.45,0.00,80352.42,36.65,410.73,33003453.60
2021,2,Baja California,1,Otoño-Invierno,2,Temporal,200201,Tonelada,5900000,Cebada forrajera en verde,3710.29,3572.85,137.50,19978.93,5.59,561.31,11214384.91
2021,2,Baja California,1,Otoño-Invierno,2,Temporal,200201,Tonelada,15050000,Pastos y praderas,285.74,285.74,0.00,2460.43,8.61,665.11,1636456.60
2021,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,5010000,Acelga,4.78,4.78,0.00,57.79,12.09,3731.67,215653.10
2021,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,5110000,Albahaca,9.41,9.41,0.00,109.57,11.64,23856.30,2613935.29
2021,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,5130000,Alcachofa,1.06,1.06,0.00,12.65,11.93,11999.07,151788.21
2021,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,5350000,Anís,21.21,21.21,0.00,29.51,1.39,16346.65,482389.67
2021,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,5370000,Apio,89.52,89.52,0.00,1532.78,17.12,14012.86,21478627.32
2021,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,5640000,Betabel,32.34,32.34,0.00,568.58,17.58,5549.98,3155609.75
2021,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,5760000,Calabaza,92.16,92.16,0.00,1449.35,15.73,5465.21,7921002.43
2021,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,6070000,Chícharo,295.72,295.72,0.00,2462.05,8.33,8114.83,19979107.42
2021,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,6170000,Chives,2.12,2.12,0.00,6.32,2.98,14855.03,93883.82
2021,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,6190000,Cilantro,107.73,103.41,4.50,1526.42,14.76,7166.43,10938982.29
2021,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,6310000,Col (repollo),15.91,15.91,0.00,517.51,32.53,4331.39,2241537.36
2021,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,6320000,Col de bruselas,229.19,229.19,0.00,4084.46,17.82,14035.99,57329453.77
2021,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,6600000,Ejote,190.00,163.56,26.50,1984.62,12.13,14399.95,28578423.20
2021,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,6630000,Epazote,3.18,3.18,0.00,15.81,4.97,18005.49,284666.79
2021,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,6660000,Especias y medicinales,4.16,4.16,0.00,16.43,3.95,11105.52,182463.64
2021,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,6790000,Semilla de flores,12.52,12.52,0.00,3.67,0.29,585055.49,2147153.66
2021,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,7160000,Higuerilla,32.23,32.23,0.00,56.46,1.75,7525.27,424876.97
2021,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,7660000,Mejorana,1.06,1.06,0.00,10.54,9.94,14197.96,149646.45
2021,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,7700000,Menta,13.79,13.79,0.00,137.03,9.94,19569.46,2681603.03
2021,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,8010000,Orégano,2.12,2.12,0.00,10.54,4.97,16997.55,179154.20
2021,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,8110000,Semilla de papa,43.14,43.14,0.00,1534.98,35.58,10300.00,15810294.00
2021,2,Baja California,2,Primavera-Verano,1,Riego,200217,Metro cuadrado,8150000,Pasto tapete (m2),3.00,3.00,0.00,29499.73,9833.24,65.89,1943704.65
2021,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,8440000,Poro (leek),16.81,16.81,0.00,410.67,24.43,14742.00,6054097.14
2021,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,8490000,Rábano,63.12,63.12,0.00,953.70,15.11,4264.87,4067403.86
2021,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,8590000,Romero,6.76,6.76,0.00,33.64,4.98,14825.56,498731.92
2021,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,8700000,Salvia,10.60,10.60,0.00,52.70,4.97,16650.59,877486.22
2021,2,Baja California,2,Primavera-Verano,1,Riego,200201,Tonelada,8910000,Tarragón,1.06,1.06,0.00,3.16,2.98,14604.95,46151.64
