Anio,Idddr,Idmunicipio,Nommunicipio,Idciclo,Idmodalidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,PMR,Valorproduccion
2024,193,55,San Luis Río Colorado,2,1,6600000,Ejote,5.0,5.0,0.0,48.0,9.6,9100.0,436800.0
2024,193,55,San Luis Río Colorado,2,1,7330000,Lechuga,52.0,52.0,0.0,1080.04,20.77,7400.0,7992296.0
2024,193,55,San Luis Río Colorado,2,1,7490000,Maíz grano,377.0,377.0,0.0,3204.5,8.5,7802.38,25002726.71
2024,193,55,San Luis Río Colorado,2,1,7490000,Maíz grano,143.0,143.0,0.0,1289.86,9.02,7500.0,9673950.0
2024,193,55,San Luis Río Colorado,2,1,7670000,Melón,11.0,11.0,0.0,350.02,31.82,7800.0,2730156.0
2024,193,55,San Luis Río Colorado,2,1,8490000,Rábano,10.0,10.0,0.0,205.0,20.5,5800.0,1189000.0
2024,193,55,San Luis Río Colorado,2,1,8710000,Sandía,503.0,503.0,0.0,24999.1,49.7,6250.0,156244375.0
2024,193,55,San Luis Río Colorado,2,1,8790000,Sorgo forrajero en verde,285.0,285.0,0.0,6569.25,23.05,950.0,6240787.5
2024,193,55,San Luis Río Colorado,2,1,8810000,Sorgo grano,135.0,135.0,0.0,800.55,5.93,5500.0,4403025.0
2024,193,55,San Luis Río Colorado,2,1,8970000,Tomate rojo (jitomate),4.0,4.0,0.0,150.0,37.5,7950.0,1192500.0
2024,193,55,San Luis Río Colorado,2,1,8980000,Tomate verde,41.0,41.0,0.0,1009.83,24.63,5800.0,5857014.0
2024,193,55,San Luis Río Colorado,3,1,5160000,Alfalfa,6250.0,6250.0,0.0,583750.0,18.68,4513.9,526997825.0
2024,193,55,San Luis Río Colorado,3,1,6490000,Dátil,1386.0,1192.0,0.0,8582.4,7.2,64000.0,549273600.0
2024,193,55,San Luis Río Colorado,3,1,6650000,Espárrago,75.0,75.0,0.0,750.0,10.0,41400.0,31050000.0
2024,193,55,San Luis Río Colorado,3,1,6650000,Espárrago,184.0,184.0,0.0,1950.4,10.6,43800.0,85427520.0
2024,193,55,San Luis Río Colorado,3,1,6650000,Espárrago,2690.0,2690.0,0.0,30128.0,11.2,42600.0,1283452800.0
2024,193,55,San Luis Río Colorado,3,1,7010000,Granada,35.0,35.0,0.0,669.9,19.14,14900.0,9981510.0
2024,193,55,San Luis Río Colorado,3,1,7150000,Higo,67.0,67.0,0.0,410.04,6.12,54000.0,22142160.0
2024,193,55,San Luis Río Colorado,3,1,7850000,Naranja,25.0,14.0,0.0,357.0,25.5,6800.0,2427600.0
2024,193,55,San Luis Río Colorado,3,1,7920000,Nopalitos,4.0,4.0,0.0,82.0,20.5,4980.49,408400.18
2024,193,55,San Luis Río Colorado,3,1,9130000,Uva,109.0,109.0,0.0,790.25,7.25,18000.0,14224500.0
