Anio,Idddr,Idmunicipio,Nommunicipio,Idciclo,Idmodalidad,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,PMR,Valorproduccion
2007,145,62,Suaqui Grande,1,1,Cebada forrajera en verde,12.0,12.0,0.0,222.0,18.5,350.0,77700.0
2007,145,62,Suaqui Grande,1,1,Pastos y praderas,40.0,40.0,0.0,1760.0,44.0,400.0,704000.0
2007,145,62,Suaqui Grande,2,1,Maíz forrajero en verde,12.0,12.0,0.0,228.0,19.0,367.0,83676.0
2007,145,62,Suaqui Grande,2,1,Sorgo forrajero en verde,45.0,45.0,0.0,1476.0,32.8,410.0,605160.0
2007,145,62,Suaqui Grande,2,2,Maíz forrajero en verde,25.0,25.0,0.0,165.0,6.6,350.0,57750.0
2007,145,62,Suaqui Grande,2,2,Sorgo forrajero en verde,30.0,30.0,0.0,276.0,9.2,400.0,110400.0
2007,145,62,Suaqui Grande,3,1,Alfalfa achicalada,102.0,102.0,0.0,1020.0,10.0,1900.0,1938000.0
2007,145,44,Onavas,1,1,Avena forrajera en verde,8.0,8.0,0.0,140.0,17.5,350.0,49000.0
2007,145,44,Onavas,1,1,Cebada forrajera en verde,15.0,15.0,0.0,277.5,18.5,350.0,97125.0
2007,145,44,Onavas,1,1,Pastos y praderas,8.0,8.0,0.0,352.0,44.0,400.0,140800.0
2007,145,44,Onavas,2,1,Sorgo forrajero en verde,90.0,90.0,0.0,2952.0,32.8,410.0,1210320.0
2007,145,44,Onavas,2,2,Maíz forrajero en verde,30.0,30.0,0.0,198.0,6.6,350.0,69300.0
2007,145,44,Onavas,2,2,Sorgo forrajero en verde,120.0,120.0,0.0,1104.0,9.2,400.0,441600.0
2007,145,44,Onavas,3,1,Alfalfa achicalada,20.0,20.0,0.0,200.0,10.0,1900.0,380000.0
2007,145,61,Soyopa,1,1,Avena forrajera en verde,17.0,17.0,0.0,297.5,17.5,350.0,104125.0
2007,145,61,Soyopa,1,1,Cebada forrajera en verde,22.0,22.0,0.0,407.0,18.5,350.0,142450.0
2007,145,61,Soyopa,1,1,Pastos y praderas,14.0,14.0,0.0,616.0,44.0,400.0,246400.0
2007,145,61,Soyopa,2,1,Sorgo forrajero en verde,62.0,62.0,0.0,2033.6,32.8,410.0,833776.0
2007,145,61,Soyopa,2,2,Maíz forrajero en verde,20.0,20.0,0.0,132.0,6.6,350.0,46200.0
2007,145,61,Soyopa,2,2,Sorgo forrajero en verde,250.0,250.0,0.0,2300.0,9.2,400.0,920000.0
2007,145,61,Soyopa,3,1,Alfalfa achicalada,35.0,35.0,0.0,350.0,10.0,1900.0,665000.0
2007,145,61,Soyopa,3,1,Naranja,4.0,4.0,0.0,20.0,5.0,1500.0,30000.0
2007,146,5,Arivechi,1,1,Ajo,1.0,1.0,0.0,5.0,5.0,15000.0,75000.0
2007,146,5,Arivechi,1,1,Avena forrajera en verde,8.0,8.0,0.0,160.0,20.0,370.0,59200.0
2007,146,5,Arivechi,1,1,Cebada forrajera en verde,5.0,5.0,0.0,65.0,13.0,370.0,24050.0
2007,146,5,Arivechi,1,1,Pastos y praderas,4.0,4.0,0.0,96.0,24.0,400.0,38400.0
2007,146,5,Arivechi,2,1,Cacahuate,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2007,146,5,Arivechi,2,1,Maíz grano,5.0,5.0,0.0,17.5,3.5,2500.0,43750.0
2007,146,5,Arivechi,2,1,Sorgo forrajero en verde,30.0,30.0,0.0,540.0,18.0,370.0,199800.0
2007,146,5,Arivechi,2,2,Maíz grano,30.0,30.0,0.0,27.0,0.9,2800.0,75600.0
2007,146,5,Arivechi,2,2,Sorgo forrajero en verde,80.0,80.0,0.0,800.0,10.0,370.0,296000.0
