Cultivo,Ton_per_m3,MXN_per_m3,HHtotal_m3_ton,Rend_t_ha,PMR
Shop suey,0.00030184980114683434,5.311254521654678,4055.7037897473197,1.234,19760.059333333335
Arándano,0.0002810144635869158,14.446121667655067,13881.366227522114,3.2011111111111115,63366.11111111111
Semilla de girasol,0.0002780710374566207,2.791101711194763,3598.7971328971203,2.676666666666667,9996.666666666666
Algodón hueso,0.00025735435743939785,2.6201192265829265,4083.5611785491365,3.542727863046045,9941.176113013249
Soya,0.00025618441026769716,2.0774652296526086,3959.1965586144547,2.379734570984571,8043.128391469642
Girasol,0.0002433296162872823,1.8592848360077252,4182.491598113802,1.9815999999999998,7631.18
Cacahuate,0.0002120775637576818,4.663709337269942,5615.839982538025,2.006806818181818,20931.478021120292
Higuerilla,0.00019640630578358364,1.2004042741246226,6479.274145537512,2.2928888888888888,6318.546833333334
Semilla de soya,0.00019387245631633616,2.1337345969552297,5439.767010829253,1.902,11315.2
Frijol,0.00017549545150882757,2.463550366427431,6464.60095635767,1.4689462068329995,13949.7593139968
Semilla de flores,0.00017457926687918044,1.278004434158843,5944.344004297634,1.38,7255.0
Ajonjolí,0.00016362792953735156,2.90506850835921,8883.537927756515,1.0153603896103895,17357.77846103896
Frutales varios,0.00012295535709127165,1.4132240541591574,11129.4435789034,1.6620000000000001,11309.986
Nuez,0.00010821853641886251,7.545106834248339,11164.60930290373,1.545838079204746,68654.82316629605
Cereza,3.724293237483005e-05,0.9310733093707513,26850.732104967963,0.5,25000.0
