,Anio,Idestado,Nomestado,Idddr,Nomddr,Idcader,Nomcader,Idmunicipio,Nommunicipio,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion
28423,2005,26,Sonora,139,Caborca,1,Sonoyta,70,General Plutarco Elías Calles,3,Perennes,1,Riego,200201,Tonelada,5000000,Aceituna,10.0,10.0,0.0,35.0,3.5,3675.0,128625.0
28424,2005,26,Sonora,139,Caborca,1,Sonoyta,70,General Plutarco Elías Calles,3,Perennes,1,Riego,200201,Tonelada,5160000,Alfalfa achicalada,1300.0,1300.0,0.0,20280.0,15.6,1000.0,20280000.0
28425,2005,26,Sonora,139,Caborca,1,Sonoyta,70,General Plutarco Elías Calles,3,Perennes,1,Riego,200201,Tonelada,6650000,Espárrago,40.0,40.0,0.0,132.0,3.3,24808.0,3274656.0
28426,2005,26,Sonora,139,Caborca,2,Caborca,17,Caborca,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,30.0,30.0,0.0,300.0,10.0,700.0,210000.0
28427,2005,26,Sonora,139,Caborca,2,Caborca,17,Caborca,1,Otoño-Invierno,1,Riego,200201,Tonelada,5900000,Cebada forrajera en verde,95.0,95.0,0.0,1710.0,18.0,600.0,1026000.0
28428,2005,26,Sonora,139,Caborca,2,Caborca,17,Caborca,1,Otoño-Invierno,1,Riego,200201,Tonelada,7670000,Melón,500.0,500.0,0.0,15000.0,30.0,6600.0,99000000.0
28429,2005,26,Sonora,139,Caborca,2,Caborca,17,Caborca,1,Otoño-Invierno,1,Riego,200201,Tonelada,8790000,Sorgo forrajero en verde,60.0,60.0,0.0,960.0,16.0,1025.0,984000.0
28430,2005,26,Sonora,139,Caborca,2,Caborca,17,Caborca,1,Otoño-Invierno,1,Riego,200201,Tonelada,8970000,Tomate rojo (jitomate),10.0,10.0,0.0,250.0,25.0,3500.0,875000.0
28431,2005,26,Sonora,139,Caborca,2,Caborca,17,Caborca,1,Otoño-Invierno,1,Riego,200201,Tonelada,9050000,Trigo grano,1499.0,1499.0,0.0,7645.0,5.1,1698.33,12983700.0
28432,2005,26,Sonora,139,Caborca,2,Caborca,17,Caborca,1,Otoño-Invierno,1,Riego,200201,Tonelada,9160000,Varios,40.0,40.0,0.0,200.0,5.0,2500.0,500000.0
28433,2005,26,Sonora,139,Caborca,2,Caborca,17,Caborca,1,Otoño-Invierno,1,Riego,200201,Tonelada,15050000,Pastos y praderas,135.0,135.0,0.0,1755.0,13.0,750.0,1316250.0
28434,2005,26,Sonora,139,Caborca,2,Caborca,17,Caborca,2,Primavera-Verano,1,Riego,200201,Tonelada,5190000,Algodón hueso,310.0,310.0,0.0,1165.6,3.76,3841.0,4477069.6
28435,2005,26,Sonora,139,Caborca,2,Caborca,17,Caborca,2,Primavera-Verano,1,Riego,200201,Tonelada,5740000,Calabacita,15.0,15.0,0.0,195.0,13.0,7785.0,1518075.0
28436,2005,26,Sonora,139,Caborca,2,Caborca,17,Caborca,2,Primavera-Verano,1,Riego,200201,Tonelada,7490000,Maíz grano,15.0,15.0,0.0,60.0,4.0,1681.0,100860.0
28437,2005,26,Sonora,139,Caborca,2,Caborca,17,Caborca,2,Primavera-Verano,1,Riego,200201,Tonelada,7670000,Melón,150.0,150.0,0.0,4500.0,30.0,3500.0,15750000.0
28438,2005,26,Sonora,139,Caborca,2,Caborca,17,Caborca,2,Primavera-Verano,1,Riego,200201,Tonelada,8100000,Papa,100.0,100.0,0.0,3500.0,35.0,5000.0,17500000.0
28439,2005,26,Sonora,139,Caborca,2,Caborca,17,Caborca,2,Primavera-Verano,1,Riego,200201,Tonelada,8210000,Pepino,15.0,15.0,0.0,300.0,20.0,2000.0,600000.0
28440,2005,26,Sonora,139,Caborca,2,Caborca,17,Caborca,2,Primavera-Verano,1,Riego,200201,Tonelada,8790000,Sorgo forrajero en verde,63.0,63.0,0.0,1008.0,16.0,1050.0,1058400.0
28441,2005,26,Sonora,139,Caborca,2,Caborca,17,Caborca,2,Primavera-Verano,1,Riego,200201,Tonelada,8970000,Tomate rojo (jitomate),10.0,10.0,0.0,200.0,20.0,3000.0,600000.0
28442,2005,26,Sonora,139,Caborca,2,Caborca,17,Caborca,2,Primavera-Verano,1,Riego,200201,Tonelada,8980000,Tomate verde,19.0,19.0,0.0,247.0,13.0,4500.0,1111500.0
28443,2005,26,Sonora,139,Caborca,2,Caborca,17,Caborca,3,Perennes,1,Riego,200201,Tonelada,5000000,Aceituna,1500.0,1500.0,0.0,6900.0,4.6,3675.0,25357500.0
28444,2005,26,Sonora,139,Caborca,2,Caborca,17,Caborca,3,Perennes,1,Riego,200201,Tonelada,5160000,Alfalfa achicalada,444.0,444.0,0.0,7015.2,15.8,1000.0,7015200.0
28445,2005,26,Sonora,139,Caborca,2,Caborca,17,Caborca,3,Perennes,1,Riego,200201,Tonelada,6020000,Chabacano,30.0,30.0,0.0,180.0,6.0,8500.0,1530000.0
28446,2005,26,Sonora,139,Caborca,2,Caborca,17,Caborca,3,Perennes,1,Riego,200201,Tonelada,6490000,Dátil,8.0,8.0,0.0,40.0,5.0,21000.0,840000.0
28447,2005,26,Sonora,139,Caborca,2,Caborca,17,Caborca,3,Perennes,1,Riego,200201,Tonelada,6530000,Durazno,60.0,60.0,0.0,360.0,6.0,8000.0,2880000.0
28448,2005,26,Sonora,139,Caborca,2,Caborca,17,Caborca,3,Perennes,1,Riego,200201,Tonelada,6650000,Espárrago,5700.0,5700.0,0.0,22800.0,4.0,24808.0,565622400.0
28449,2005,26,Sonora,139,Caborca,2,Caborca,17,Caborca,3,Perennes,1,Riego,200201,Tonelada,7150000,Higo,7.0,7.0,0.0,39.0,5.57,15000.0,585000.0
28450,2005,26,Sonora,139,Caborca,2,Caborca,17,Caborca,3,Perennes,1,Riego,200201,Tonelada,7850000,Naranja,400.0,400.0,0.0,4000.0,10.0,450.0,1800000.0
28451,2005,26,Sonora,139,Caborca,2,Caborca,17,Caborca,3,Perennes,1,Riego,200201,Tonelada,7960000,Nuez,140.0,140.0,0.0,168.0,1.2,18500.0,3108000.0
28452,2005,26,Sonora,139,Caborca,2,Caborca,17,Caborca,3,Perennes,1,Riego,200201,Tonelada,9130000,Uva,7300.0,7300.0,0.0,52000.0,7.12,7650.0,397800000.0
28453,2005,26,Sonora,139,Caborca,2,Caborca,47,Pitiquito,1,Otoño-Invierno,1,Riego,200201,Tonelada,5900000,Cebada forrajera en verde,5.0,5.0,0.0,90.0,18.0,600.0,54000.0
28454,2005,26,Sonora,139,Caborca,2,Caborca,47,Pitiquito,1,Otoño-Invierno,1,Riego,200201,Tonelada,9050000,Trigo grano,675.0,675.0,0.0,3443.0,5.1,1700.0,5853100.0
28455,2005,26,Sonora,139,Caborca,2,Caborca,47,Pitiquito,1,Otoño-Invierno,1,Riego,200201,Tonelada,15050000,Pastos y praderas,25.0,25.0,0.0,325.0,13.0,750.0,243750.0
28456,2005,26,Sonora,139,Caborca,2,Caborca,47,Pitiquito,2,Primavera-Verano,1,Riego,200201,Tonelada,5190000,Algodón hueso,50.0,50.0,0.0,188.0,3.76,3841.0,722108.0
28457,2005,26,Sonora,139,Caborca,2,Caborca,47,Pitiquito,2,Primavera-Verano,1,Riego,200201,Tonelada,7490000,Maíz grano,15.0,15.0,0.0,60.0,4.0,1681.0,100860.0
28458,2005,26,Sonora,139,Caborca,2,Caborca,47,Pitiquito,3,Perennes,1,Riego,200201,Tonelada,5000000,Aceituna,30.0,30.0,0.0,138.0,4.6,3675.0,507150.0
28459,2005,26,Sonora,139,Caborca,2,Caborca,47,Pitiquito,3,Perennes,1,Riego,200201,Tonelada,5160000,Alfalfa achicalada,156.0,156.0,0.0,2464.8,15.8,1000.0,2464800.0
28460,2005,26,Sonora,139,Caborca,2,Caborca,47,Pitiquito,3,Perennes,1,Riego,200201,Tonelada,6650000,Espárrago,110.0,110.0,0.0,440.0,4.0,24808.0,10915520.0
28461,2005,26,Sonora,139,Caborca,2,Caborca,47,Pitiquito,3,Perennes,1,Riego,200201,Tonelada,9130000,Uva,80.0,80.0,0.0,1040.0,13.0,1700.0,1768000.0
