,Anio,Idestado,Nomestado,Idddr,Nomddr,Idcader,Nomcader,Idmunicipio,Nommunicipio,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo Sin Um,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion
23451,2020,26,Sonora,146,Sahuaripa,3,Yécora,69,Yécora,2,Primavera-Verano,2,Temporal,200201,Tonelada,7470000,Maíz forrajero en verde,25.0,10.0,15.0,65.0,6.5,755.0,49075.0
23452,2020,26,Sonora,146,Sahuaripa,3,Yécora,69,Yécora,2,Primavera-Verano,2,Temporal,200201,Tonelada,7490000,Maíz grano,303.0,180.0,123.0,306.0,1.7,4500.0,1377000.0
23453,2020,26,Sonora,146,Sahuaripa,3,Yécora,69,Yécora,2,Primavera-Verano,2,Temporal,200201,Tonelada,8100000,Papa,18.0,8.0,10.0,64.0,8.0,7500.0,480000.0
23454,2020,26,Sonora,146,Sahuaripa,3,Yécora,69,Yécora,2,Primavera-Verano,2,Temporal,200201,Tonelada,8210000,Pepino,20.0,20.0,0.0,326.06,16.3,5000.0,1630300.0
23455,2020,26,Sonora,146,Sahuaripa,3,Yécora,69,Yécora,2,Primavera-Verano,2,Temporal,200201,Tonelada,8790000,Sorgo forrajero en verde,110.0,80.0,30.0,448.5,5.61,780.0,349830.0
23456,2020,26,Sonora,146,Sahuaripa,3,Yécora,69,Yécora,3,Perennes,2,Temporal,200201,Tonelada,6530000,Durazno,118.71,39.71,0.0,504.32,12.7,11600.0,5850112.0
23457,2020,26,Sonora,146,Sahuaripa,3,Yécora,69,Yécora,3,Perennes,2,Temporal,200201,Tonelada,7580000,Manzana,207.45,164.69,0.0,2635.04,16.0,10850.0,28590184.0
23458,2020,26,Sonora,147,Guaymas,1,Guaymas D.D.R.,25,Empalme,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,85.0,85.0,0.0,1360.0,16.0,820.27,1115567.2
23459,2020,26,Sonora,147,Guaymas,1,Guaymas D.D.R.,25,Empalme,1,Otoño-Invierno,1,Riego,200201,Tonelada,5610000,Berenjena,29.0,29.0,0.0,370.5,12.78,8023.75,2972799.97
23460,2020,26,Sonora,147,Guaymas,1,Guaymas D.D.R.,25,Empalme,1,Otoño-Invierno,1,Riego,200201,Tonelada,5740000,Calabacita,890.0,890.0,0.0,31560.35,35.46,7066.21,223012060.77
23461,2020,26,Sonora,147,Guaymas,1,Guaymas D.D.R.,25,Empalme,1,Otoño-Invierno,1,Riego,200201,Tonelada,5940000,Cebolla,33.0,33.0,0.0,924.0,28.0,4771.43,4408801.32
23462,2020,26,Sonora,147,Guaymas,1,Guaymas D.D.R.,25,Empalme,1,Otoño-Invierno,1,Riego,200201,Tonelada,6120000,Chile verde,435.0,435.0,0.0,21497.0,49.42,7928.37,170436063.76
23463,2020,26,Sonora,147,Guaymas,1,Guaymas D.D.R.,25,Empalme,1,Otoño-Invierno,1,Riego,200201,Tonelada,6840000,Frijol,20.0,20.0,0.0,32.0,1.6,17187.5,550000.0
23464,2020,26,Sonora,147,Guaymas,1,Guaymas D.D.R.,25,Empalme,1,Otoño-Invierno,1,Riego,200201,Tonelada,7490000,Maíz grano,60.0,60.0,0.0,420.0,7.0,3315.48,1392501.6
23465,2020,26,Sonora,147,Guaymas,1,Guaymas D.D.R.,25,Empalme,1,Otoño-Invierno,1,Riego,200201,Tonelada,7670000,Melón,700.0,700.0,0.0,28351.0,40.5,5134.27,145561567.82
23466,2020,26,Sonora,147,Guaymas,1,Guaymas D.D.R.,25,Empalme,1,Otoño-Invierno,1,Riego,200201,Tonelada,8210000,Pepino,295.0,295.0,0.0,39758.86,134.78,6759.09,268733596.67
23467,2020,26,Sonora,147,Guaymas,1,Guaymas D.D.R.,25,Empalme,1,Otoño-Invierno,1,Riego,200201,Tonelada,8710000,Sandía,1080.0,1080.0,0.0,50220.0,46.5,2073.64,104138200.8
23468,2020,26,Sonora,147,Guaymas,1,Guaymas D.D.R.,25,Empalme,1,Otoño-Invierno,1,Riego,200201,Tonelada,8790000,Sorgo forrajero en verde,15.0,15.0,0.0,495.0,33.0,749.09,370799.55
23469,2020,26,Sonora,147,Guaymas,1,Guaymas D.D.R.,25,Empalme,1,Otoño-Invierno,1,Riego,200201,Tonelada,8970000,Tomate rojo (jitomate),120.0,120.0,0.0,4374.7,36.46,6846.16,29949911.63
23470,2020,26,Sonora,147,Guaymas,1,Guaymas D.D.R.,25,Empalme,1,Otoño-Invierno,1,Riego,200201,Tonelada,8980000,Tomate verde,30.0,30.0,0.0,474.0,15.8,5024.05,2381399.7
23471,2020,26,Sonora,147,Guaymas,1,Guaymas D.D.R.,25,Empalme,1,Otoño-Invierno,2,Temporal,200201,Tonelada,8790000,Sorgo forrajero en verde,10.0,10.0,0.0,82.0,8.2,700.0,57400.0
23472,2020,26,Sonora,147,Guaymas,1,Guaymas D.D.R.,25,Empalme,2,Primavera-Verano,1,Riego,200201,Tonelada,5740000,Calabacita,255.0,255.0,0.0,5549.5,21.76,7078.38,39281465.03
23473,2020,26,Sonora,147,Guaymas,1,Guaymas D.D.R.,25,Empalme,2,Primavera-Verano,1,Riego,200201,Tonelada,6120000,Chile verde,114.0,114.0,0.0,7724.4,67.76,10472.96,80897356.13
23474,2020,26,Sonora,147,Guaymas,1,Guaymas D.D.R.,25,Empalme,2,Primavera-Verano,1,Riego,200201,Tonelada,6840000,Frijol,15.0,15.0,0.0,20.25,1.35,16000.0,324000.0
23475,2020,26,Sonora,147,Guaymas,1,Guaymas D.D.R.,25,Empalme,2,Primavera-Verano,1,Riego,200201,Tonelada,7670000,Melón,280.0,280.0,0.0,11695.0,41.77,5560.24,65026994.2
23476,2020,26,Sonora,147,Guaymas,1,Guaymas D.D.R.,25,Empalme,2,Primavera-Verano,1,Riego,200201,Tonelada,8210000,Pepino,90.0,90.0,0.0,14246.8,158.3,6031.19,85925163.63
23477,2020,26,Sonora,147,Guaymas,1,Guaymas D.D.R.,25,Empalme,2,Primavera-Verano,1,Riego,200201,Tonelada,8710000,Sandía,700.0,700.0,0.0,32850.0,46.93,2626.37,86276292.0
23478,2020,26,Sonora,147,Guaymas,1,Guaymas D.D.R.,25,Empalme,2,Primavera-Verano,1,Riego,200201,Tonelada,8790000,Sorgo forrajero en verde,50.0,50.0,0.0,1650.0,33.0,810.0,1336500.0
