,Anio,Idestado,Nomestado,Idddr,Nomddr,Idcader,Nomcader,Idmunicipio,Nommunicipio,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Preciomediorural,Valorproduccion
23321,2021,26,Sonora,143,Moctezuma,1,Moctezuma,38,Moctezuma,1,Otoño-Invierno,1,Riego,200201,Tonelada,5070000,Ajo,3,3.0,0.0,17.4,5.8,20000.0,348000.0
23322,2021,26,Sonora,143,Moctezuma,1,Moctezuma,38,Moctezuma,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,75,75.0,0.0,1875.0,25.0,656.44,1230825.0
23323,2021,26,Sonora,143,Moctezuma,1,Moctezuma,38,Moctezuma,2,Primavera-Verano,1,Riego,200201,Tonelada,6840000,Frijol,5,5.0,0.0,6.0,1.2,18150.0,108900.0
23324,2021,26,Sonora,143,Moctezuma,1,Moctezuma,38,Moctezuma,2,Primavera-Verano,1,Riego,200201,Tonelada,7470000,Maíz forrajero en verde,15,15.0,0.0,210.0,14.0,667.43,140160.3
23325,2021,26,Sonora,143,Moctezuma,1,Moctezuma,38,Moctezuma,2,Primavera-Verano,1,Riego,200201,Tonelada,7490000,Maíz grano,14,14.0,0.0,57.4,4.1,5314.63,305059.76
23326,2021,26,Sonora,143,Moctezuma,1,Moctezuma,38,Moctezuma,2,Primavera-Verano,1,Riego,200201,Tonelada,8790000,Sorgo forrajero en verde,320,320.0,0.0,4864.0,15.2,706.79,3437826.56
23327,2021,26,Sonora,143,Moctezuma,1,Moctezuma,38,Moctezuma,2,Primavera-Verano,2,Temporal,200201,Tonelada,7470000,Maíz forrajero en verde,10,10.0,0.0,70.0,7.0,680.86,47660.2
23328,2021,26,Sonora,143,Moctezuma,1,Moctezuma,38,Moctezuma,2,Primavera-Verano,2,Temporal,200201,Tonelada,8790000,Sorgo forrajero en verde,300,300.0,0.0,2160.0,7.2,713.66,1541505.6
23329,2021,26,Sonora,143,Moctezuma,1,Moctezuma,38,Moctezuma,3,Perennes,1,Riego,200201,Tonelada,5160000,Alfalfa achicalada,230,230.0,0.0,3128.0,13.6,2860.22,8946768.16
23330,2021,26,Sonora,143,Moctezuma,1,Moctezuma,38,Moctezuma,3,Perennes,1,Riego,200201,Tonelada,7960000,Nuez,6,6.0,0.0,9.0,1.5,91000.0,819000.0
23331,2021,26,Sonora,143,Moctezuma,1,Moctezuma,63,Tepache,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,22,22.0,0.0,506.0,23.0,658.28,333089.68
23332,2021,26,Sonora,143,Moctezuma,1,Moctezuma,63,Tepache,2,Primavera-Verano,1,Riego,200201,Tonelada,7470000,Maíz forrajero en verde,8,8.0,0.0,104.0,13.0,673.08,70000.32
23333,2021,26,Sonora,143,Moctezuma,1,Moctezuma,63,Tepache,2,Primavera-Verano,1,Riego,200201,Tonelada,8790000,Sorgo forrajero en verde,30,30.0,0.0,480.0,16.0,708.75,340200.0
23334,2021,26,Sonora,143,Moctezuma,1,Moctezuma,63,Tepache,2,Primavera-Verano,2,Temporal,200201,Tonelada,7470000,Maíz forrajero en verde,8,8.0,0.0,57.6,7.2,670.56,38624.26
23335,2021,26,Sonora,143,Moctezuma,1,Moctezuma,63,Tepache,2,Primavera-Verano,2,Temporal,200201,Tonelada,8790000,Sorgo forrajero en verde,100,100.0,0.0,710.0,7.1,712.11,505598.1
23336,2021,26,Sonora,143,Moctezuma,1,Moctezuma,63,Tepache,3,Perennes,1,Riego,200201,Tonelada,5160000,Alfalfa achicalada,20,20.0,0.0,276.0,13.8,2855.07,787999.32
23337,2021,26,Sonora,143,Moctezuma,2,Huásabas,28,Granados,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,40,40.0,0.0,972.0,24.3,663.68,645096.96
23338,2021,26,Sonora,143,Moctezuma,2,Huásabas,28,Granados,2,Primavera-Verano,1,Riego,200201,Tonelada,6840000,Frijol,3,3.0,0.0,3.45,1.15,18500.0,63825.0
23339,2021,26,Sonora,143,Moctezuma,2,Huásabas,28,Granados,2,Primavera-Verano,1,Riego,200201,Tonelada,7490000,Maíz grano,4,4.0,0.0,18.0,4.5,5422.22,97599.96
23340,2021,26,Sonora,143,Moctezuma,2,Huásabas,28,Granados,2,Primavera-Verano,1,Riego,200201,Tonelada,8790000,Sorgo forrajero en verde,45,45.0,0.0,666.0,14.8,669.19,445680.54
23341,2021,26,Sonora,143,Moctezuma,2,Huásabas,28,Granados,2,Primavera-Verano,2,Temporal,200201,Tonelada,8790000,Sorgo forrajero en verde,85,85.0,0.0,637.5,7.5,678.04,432250.5
23342,2021,26,Sonora,143,Moctezuma,2,Huásabas,28,Granados,3,Perennes,1,Riego,200201,Tonelada,5160000,Alfalfa achicalada,140,140.0,0.0,1918.0,13.7,2833.21,5434096.78
23343,2021,26,Sonora,143,Moctezuma,2,Huásabas,32,Huásabas,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,25,25.0,0.0,612.5,24.5,670.12,410448.5
23344,2021,26,Sonora,143,Moctezuma,2,Huásabas,32,Huásabas,2,Primavera-Verano,1,Riego,200201,Tonelada,8790000,Sorgo forrajero en verde,50,50.0,0.0,725.0,14.5,680.0,493000.0
23345,2021,26,Sonora,143,Moctezuma,2,Huásabas,32,Huásabas,2,Primavera-Verano,2,Temporal,200201,Tonelada,8790000,Sorgo forrajero en verde,80,80.0,0.0,560.0,7.0,690.0,386400.0
23346,2021,26,Sonora,143,Moctezuma,2,Huásabas,32,Huásabas,3,Perennes,1,Riego,200201,Tonelada,5160000,Alfalfa achicalada,140,140.0,0.0,1932.0,13.8,2821.52,5451176.64
23347,2021,26,Sonora,143,Moctezuma,2,Huásabas,32,Huásabas,3,Perennes,1,Riego,200201,Tonelada,7960000,Nuez,2.5,0.0,0.0,0.0,0.0,0.0,0.0
23348,2021,26,Sonora,143,Moctezuma,2,Huásabas,67,Villa Hidalgo,1,Otoño-Invierno,1,Riego,200201,Tonelada,5490000,Avena forrajera en verde,30,30.0,0.0,720.0,24.0,662.57,477050.4
