Anio,Idestado,Nomestado,Idciclo,Idmodalidad,Idcultivo,Nomcultivo,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,PMR,Valorproduccion
1985,10,Durango,2,2,5490000,Avena forrajera en verde,18005.0,236.0,64690.0,3.59,9.78,632560.0
1985,10,Durango,2,2,5510000,Avena grano,135.0,0.0,126.0,0.93,45.0,5670.0
1985,10,Durango,2,2,5690000,Cacahuate,118.0,31.0,225.0,1.91,300.0,67500.0
1985,10,Durango,2,2,5900000,Cebada forrajera en verde,8.0,4.0,16.0,2.0,15.0,240.0
1985,10,Durango,2,2,5920000,Cebada grano,699.0,10.0,1168.0,1.67,37.0,43216.0
1985,10,Durango,2,2,6840000,Frijol,276252.0,16090.0,128513.0,0.47,155.0,19919515.0
1985,10,Durango,2,2,6940000,Girasol,2518.0,1193.0,3214.0,1.28,115.0,369610.0
1985,10,Durango,2,2,7470000,Maíz forrajero en verde,218.0,0.0,4353.0,19.97,4.5,19589.0
1985,10,Durango,2,2,7490000,Maíz grano,177671.0,12871.0,138525.0,0.78,52.0,7203300.0
1985,10,Durango,2,2,8100000,Papa,852.0,37.0,3631.0,4.26,55.0,199705.0
1985,10,Durango,2,2,8790000,Sorgo forrajero en verde,136.0,132.0,1456.0,10.71,3.0,4368.0
1985,10,Durango,2,2,8810000,Sorgo grano,750.0,2.0,641.0,0.85,35.0,22435.0
1985,10,Durango,2,2,9050000,Trigo grano,4632.0,1258.0,7676.0,1.66,37.0,284012.0
1985,10,Durango,3,1,5060000,Aguacate,0.0,0.0,0.0,0.0,0.0,0.0
1985,10,Durango,3,1,5170000,Alfalfa verde,12343.0,0.0,901039.0,73.0,3.85,3469000.0
