Anio,Idestado,Nomestado,Idciclo,Idmodalidad,Nomcultivo,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,PMR,Valorproduccion
2001,6,Colima,3,1,Papaya,454.0,0.0,11881.9,26.17,2311.3,27462683.99
2001,6,Colima,3,1,Plátano,5508.0,0.0,159663.0,28.99,1346.43,214974654.57
2001,6,Colima,3,1,Tamarindo,1080.0,0.0,6067.3,5.62,3492.1,21187635.63
2001,6,Colima,3,1,Tangerina,4.0,0.0,16.0,4.0,2000.0,32000.0
2001,6,Colima,3,1,Toronja (pomelo),0.0,0.0,0.0,0.0,0.0,0.0
2001,6,Colima,3,1,Zapote,13.0,0.0,88.0,6.77,2004.77,176419.76
2001,6,Colima,3,1,Pastos y praderas,5810.5,0.0,181700.43,31.27,208.5,37883987.18
2001,6,Colima,3,2,Agave,4.0,0.0,320.0,80.0,2500.0,800000.0
2001,6,Colima,3,2,Aguacate,14.0,0.0,125.0,8.93,4096.0,512000.0
2001,6,Colima,3,2,Café cereza,2107.5,0.0,2403.35,1.14,1986.72,4774774.73
2001,6,Colima,3,2,Caña de azúcar,7397.35,0.0,540762.75,73.1,278.43,150564572.48
2001,6,Colima,3,2,Caña de azúcar forrajera,216.0,0.0,19804.0,91.69,129.33,2561251.32
2001,6,Colima,3,2,Chayote,2.0,0.0,15.0,7.5,1203.33,18049.95
2001,6,Colima,3,2,Ciruela,172.0,0.0,903.0,5.25,3392.13,3063091.92
2001,6,Colima,3,2,Copra,1321.0,0.0,2025.0,1.53,2741.23,5550990.75
2001,6,Colima,3,2,Durazno,0.0,0.0,0.0,0.0,0.0,0.0
2001,6,Colima,3,2,Guanábana,0.0,0.0,0.0,0.0,0.0,0.0
2001,6,Colima,3,2,Guayaba,31.0,0.0,123.3,3.98,3149.39,388319.79
2001,6,Colima,3,2,Leucaena,18.5,0.0,214.0,11.57,220.0,47080.0
2001,6,Colima,3,2,Lima,6.0,0.0,97.0,16.17,3377.32,327600.04
2001,6,Colima,3,2,Limón,426.5,0.0,2845.8,6.67,1180.81,3360361.83
2001,6,Colima,3,2,Mamey,10.0,0.0,60.0,6.0,4000.0,240000.0
2001,6,Colima,3,2,Mango,1092.5,0.0,17266.55,15.8,1497.54,25857397.45
2001,6,Colima,3,2,Naranja,1.0,0.0,4.0,4.0,1500.0,6000.0
2001,6,Colima,3,2,Nopalitos,4.0,0.0,73.0,18.25,2120.54,154799.42
2001,6,Colima,3,2,Papaya,0.0,0.0,0.0,0.0,0.0,0.0
2001,6,Colima,3,2,Pitahaya,0.0,0.0,0.0,0.0,0.0,0.0
2001,6,Colima,3,2,Plátano,5.5,0.0,90.0,16.36,2222.22,199999.8
2001,6,Colima,3,2,Tamarindo,1085.5,0.0,5174.56,4.77,3751.44,19412056.52
2001,6,Colima,3,2,Zarzamora,0.0,0.0,0.0,0.0,0.0,0.0
2001,6,Colima,3,2,Pastos y praderas,38497.0,0.0,919641.39,23.89,177.02,162795346.63
2001,7,Chiapas,1,1,Ajonjolí,1431.0,0.0,845.42,0.59,5557.74,4698624.55
2001,7,Chiapas,1,1,Arroz palay,30.0,0.0,165.0,5.5,1500.0,247500.0
