Anio,Idestado,Nomestado,Idciclo,Nommodalidad,Nomunidad,Nomcultivo,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,PMR,Valorproduccion
1986,4,Campeche,2,Temporal,Tonelada,Frijol,568.0,243.0,336.0,0.59,155.0,52080.0
1986,4,Campeche,2,Temporal,Tonelada,Maíz grano,37480.0,35954.0,32164.0,0.86,96.21,3094617.0
1986,4,Campeche,2,Temporal,Tonelada,Sorgo grano,548.0,198.0,877.0,1.6,50.0,43850.0
1986,4,Campeche,2,Temporal,Tonelada,Soya,472.0,283.0,476.0,1.01,88.0,41888.0
1986,4,Campeche,3,Riego,Tonelada,Aguacate,6.0,0.0,54.0,9.0,46.0,2484.0
1986,4,Campeche,3,Riego,Tonelada,Caña de azúcar,3382.0,0.0,221395.0,65.46,6.0,1328370.0
1986,4,Campeche,3,Riego,Tonelada,Mango,350.0,0.0,4550.0,13.0,50.0,227500.0
1986,4,Campeche,3,Riego,Tonelada,Nanche,60.0,0.0,360.0,6.0,25.0,9000.0
1986,4,Campeche,3,Riego,Tonelada,Tamarindo,10.0,0.0,58.0,5.8,26.79,1554.0
1986,4,Campeche,3,Riego,Tonelada,Zapote,148.0,0.0,820.0,5.54,50.0,41000.0
1986,4,Campeche,3,Temporal,Tonelada,Aguacate,264.0,0.0,2006.0,7.6,42.8,85857.0
1986,4,Campeche,3,Temporal,Tonelada,Anona,72.0,0.0,512.0,7.11,22.5,11520.0
1986,4,Campeche,3,Temporal,Tonelada,Caimito,80.0,0.0,538.0,6.73,17.0,9146.0
1986,4,Campeche,3,Temporal,Tonelada,Caña de azúcar,2559.0,0.0,142142.0,55.55,6.0,852852.0
1986,4,Campeche,3,Temporal,Tonelada,Chirimoya,405.0,0.0,1215.0,3.0,28.5,34627.0
1986,4,Campeche,3,Temporal,Tonelada,Ciruela,358.0,0.0,1039.0,2.9,18.9,19637.0
1986,4,Campeche,3,Temporal,Tonelada,Copra,6966.0,0.0,6200.0,0.89,146.0,905200.0
1986,4,Campeche,3,Temporal,Tonelada,Granada,3.0,0.0,18.0,6.0,30.0,540.0
1986,4,Campeche,3,Temporal,Tonelada,Guanábana,96.0,0.0,587.0,6.11,138.2,81123.0
1986,4,Campeche,3,Temporal,Tonelada,Guayaba,73.0,0.0,215.0,2.95,30.1,6471.0
1986,4,Campeche,3,Temporal,Tonelada,Lima,8.0,0.0,66.0,8.25,27.0,1782.0
1986,4,Campeche,3,Temporal,Tonelada,Limón,128.0,0.0,1146.0,8.95,60.0,68760.0
1986,4,Campeche,3,Temporal,Tonelada,Mamey,36.0,0.0,252.0,7.0,31.7,7988.0
1986,4,Campeche,3,Temporal,Tonelada,Mandarina,69.0,0.0,519.0,7.52,40.0,20760.0
1986,4,Campeche,3,Temporal,Tonelada,Mango,872.0,0.0,8826.0,10.12,47.7,421000.0
1986,4,Campeche,3,Temporal,Tonelada,Marañón,347.0,0.0,651.0,1.88,41.0,26691.0
1986,4,Campeche,3,Temporal,Tonelada,Nanche,263.0,0.0,316.0,1.2,23.6,7458.0
1986,4,Campeche,3,Temporal,Tonelada,Naranja,335.0,0.0,4355.0,13.0,25.75,112141.0
1986,4,Campeche,3,Temporal,Tonelada,Papaya,149.0,0.0,2860.0,19.19,22.0,62920.0
1986,4,Campeche,3,Temporal,Tonelada,Plátano,54.0,0.0,1245.0,23.06,24.15,30067.0
1986,4,Campeche,3,Temporal,Tonelada,Tamarindo,60.0,0.0,228.0,3.8,25.3,5768.0
1986,4,Campeche,3,Temporal,Tonelada,Toronja (pomelo),15.0,0.0,140.0,9.33,30.0,4200.0
1986,4,Campeche,3,Temporal,Tonelada,Zapote,181.0,0.0,783.0,4.33,48.67,38107.0
1986,5,Coahuila,1,Riego,Tonelada,Acelga,2.0,0.0,34.0,17.0,40.0,1360.0
1986,5,Coahuila,1,Riego,Tonelada,Ajo,17.0,0.0,169.0,9.94,200.0,33800.0
1986,5,Coahuila,1,Riego,Tonelada,Alpiste,2104.0,0.0,1836.0,0.87,164.57,302148.0
1986,5,Coahuila,1,Riego,Tonelada,Avena forrajera en verde,10080.0,83.0,290419.0,28.81,4.48,1300156.0
1986,5,Coahuila,1,Riego,Tonelada,Avena grano,150.0,0.0,366.0,2.44,109.95,40243.0
1986,5,Coahuila,1,Riego,Tonelada,Betabel,2.0,0.0,80.0,40.0,40.0,3200.0
1986,5,Coahuila,1,Riego,Tonelada,Cártamo,3451.0,113.0,4039.0,1.17,112.55,454584.0
1986,5,Coahuila,1,Riego,Tonelada,Cebada forrajera en verde,566.0,0.0,13847.0,24.46,6.69,92655.0
1986,5,Coahuila,1,Riego,Tonelada,Cebada grano,926.0,4.0,2728.0,2.95,80.85,220555.0
1986,5,Coahuila,1,Riego,Tonelada,Cebolla,54.0,4.0,1235.0,22.87,37.41,46200.0
1986,5,Coahuila,1,Riego,Tonelada,Cilantro,61.0,0.0,985.0,16.15,63.12,62173.0
